Name,Type,Attunement,Price,Source,Damage,Description
Enduring Spellbook,Wondrous Item,-,100 GP,DMG,-,A durable spellbook magically resistant to ordinary environmental damage.
Erasable Quill,Wondrous Item,No,100 GP,GSB,-,Any nonmagical writing or drawing made with this quill can be completely erased by brushing the marks with its feather.
Ersatz Eye,Wondrous Item,-,100 GP,DMG,-,A magical replacement eye that functions like a natural eye.
Everlasting Sugarbomb,Wondrous Item,No,100 GP,GSB,-,A magical candy that lasts far longer than ordinary sweets and provides a whimsical magical effect.
Fanfare Ammunition,Weapon (an arrow or bolt),No,B+100 GP,GSB,-,"When this magic arrow or bolt hits, it deals no damage and is destroyed, producing an illusory sound of your choice at the impact point. You choose a volume from a whisper to a scream; a creature can identify the sound as illusory with a DC 10 Intelligence (Investigation) check. On a miss, the ammunition remains recoverable."
Featherwumpus,Wondrous Item,No,100 GP,GSB,-,A whimsical feather-themed magical item associated with a small fantastical creature.
Firecracker Crystals,Wondrous Item,No,100 GP,GSB,Fire damage if used as an explosive,"Magical crystals that create loud, bright firecracker-like bursts."
Forecaster's Cloak,Wondrous Item,No,100 GP,GSB,-,"While wearing the cloak, use an action to open it and speak its command word. For 1 minute, or until you close it, harmless sensory illusions inside the cloak depict the weather expected at your location over the next 8 hours."
Fortune's Flower,Wondrous Item,No,100 GP,GSB,-,A magical flower associated with luck and favorable outcomes.
Foxfire Charm,Wondrous Item,No,100 GP,GSB,-,A charm that produces foxfire-like magical illumination.
Freerunner's Armor,Armor (padded),No,150 GP,GSB,-,"Light armor that makes the wearer unusually agile; after a long jump onto or alongside a suitable wall, the wearer can move along the wall for the length of the jump and can make another jump while there if movement remains."
Frefil's Scrummy Trifection,Wondrous Item,No,100 GP,GSB,-,A magical sweet associated with Frefil and designed as a flavorful novelty consumable.
Freshwater Pitcher,Wondrous Item,No,100 GP,GSB,-,A magical pitcher that provides or purifies fresh drinking water.
Gardener's Candle Holder,Wondrous Item,No,100 GP,GSB,-,A magical candle holder designed to assist gardeners and plant growth.
Ghallanda Cauldron,Wondrous Item,Attunement,250 GP,EB,-,A magical cauldron designed to assist with food preparation and hospitality.
Grasping Seedling Necklace,Wondrous Item,No,100 GP,GSB,-,"The seedling gains 1 charge each dawn, up to 7, and has one leaf per charge; it is typically found with 1d6 + 1 charges. At 7 charges, use an action to open the bauble, speak the command word, and throw the seedling to a space within 30 feet. It takes root, and each Medium or smaller creature within 5 feet must make a DC 10 Strength or Dexterity save or be grappled by the vines for 1 minute."
Grass Carpet,Wondrous Item,No,100 GP,GSB,-,"This 5-by-10-foot, 30-pound roll of magical turf is only 1 inch thick but nourishes roots as though it were 1 foot of normal soil. Plants grown in it need only half their normal sunlight and water. It takes 1 minute to roll up or unroll; folding or layering carpets increases the usable soil depth."
Gravity Goblet,Wondrous Item,No,100 GP,GSB,-,"Liquid poured into this goblet flows opposite gravity while the cup is tilted, climbing toward the rim before pouring normally once it reaches the edge. Swirling the drink makes it flow opposite the direction of rotation. Solid objects other than ice floating in the liquid are unaffected."
Great Owl's Pocket Translator,Wondrous Item,No,100 GP,GSB,-,"Choose Dwarvish, Elvish, Gnomish, or Halfling with the device's dial as a bonus action. While open, any sentence spoken within earshot in the selected language is immediately repeated by the device in Common, conveying the speaker's literal meaning."
Greenthumb Whittler,Wondrous Item,No,100 GP,GSB,-,"A magical carving tool that assists with plants, wood, and gardening."
Griffon Coinpouch,Wondrous Item,No,100 GP,GSB,-,"This 6-inch purse holds up to 1,000 coins and always weighs 1 pound regardless of contents. Coins removed from it are magically clean and shiny as if freshly minted. At the GM's discretion, an enigmatic note may occasionally be found among the coins."
Griffon Key Loop,Wondrous Item,No,100 GP,GSB,-,"Attach a key by holding it to the loop for 1 minute, storing it extradimensionally; up to 10 keys can be attached. As an action, speak the command word to make selected stored keys appear or disappear. Touching the loop to a lock whose key is stored instantly locks or unlocks it as though the key were used."
Hall Decker,Wondrous Item,No,100 GP,GSB,-,"As an action, throw this ornament at a point within 30 feet, destroying it. Roll three d20s or preset their results before throwing: the first determines how much festive décor appears, and the other two determine its themes. The decorations fill a 60-foot-radius area, spread around corners, and vanish after 7 days or when removed."
Hammer of Nails,Weapon (light hammer),No,B+100 GP,GSB,Weapon's normal damage,"As an action, speak the command word and strike an unattended object no more than 1 foot thick. It becomes magically stuck to the inanimate surface touching its opposite side until either object takes damage, a creature succeeds on a DC 10 Strength check, or sufficient force breaks the bond. Up to three objects can be held this way at once."
Hat of Osnomnosis,Wondrous Item,Yes-Wizard,100 GP,GSB,1d6 psychic per spell level when fed spell text,"This sentient wizard's hat can serve as an arcane focus. Feed it a nonmagical sheet of paper as an action to destroy the paper and immediately learn its contents as though you had read it. Magical paper is spat back out; if it contains a spell, you take 1d6 psychic damage per spell level. The hat communicates simple emotions and images telepathically while worn."
Hat of Vermin,Wondrous Item,-,100 GP,DMG,-,A hat capable of producing small harmless vermin.
Hat of Wizardry,Wondrous Item,Attunement,100 GP,DMG,-,A wizardly hat that assists with minor magical tricks and spellcasting.
Headband of the Sweatless,Wondrous Item,No,100 GP,GSB,-,"While wearing the headband, perspiration still cools you but does not make you wet. The first time you make a Constitution saving throw against extreme heat, add 1d4 to the roll. This bonus recharges at the next dawn."
Heart of the Sleeveless,Wondrous Item,No,100 GP,GSB,-,"A magical item themed around sleeveless clothing and a resilient heart, providing a minor utility effect."
Hedgewitch's Gardening Cane,Staff,No,100 GP,GSB,-,"As an action while holding this staff, tap it on the ground and mentally command its lower end to transform into a broom, hoe, rake, shovel, or back into a normal cane."
Heward's Handy Spice Pouch,Wondrous Item,-,100 GP,DMG,Cold,A pouch that supplies small amounts of common culinary spices.
Horn of Silent Alarm,Wondrous Item,-,100 GP,DMG,-,A horn that can sound an alarm audible only to designated creatures.
House Slipper Socks,Wondrous Item,No,100 GP,GSB,-,"While wearing these knitted socks, use an action to wipe your shoes as though on a doormat. Your shoes, socks, and feet are then magically cleaned, dried, and freed of dirt and grime."
Immovable Button,Wondrous Item,No,100 GP,GSB,-,A magical button that becomes fixed in place and can be used as a tiny anchor.
Inker's Armband,Wondrous Item,No,100 GP,GSB,-,"A magical armband that assists with ink, writing, and drawing."
Instigator's Rod,Rod,No,100 GP,GSB,-,"A magical rod intended to provoke, encourage, or manipulate creatures into taking action."
Instrument of Illusions,Wondrous Item,-,100 GP,DMG,-,A musical instrument capable of producing harmless illusory effects.
Instrument of Scribing,Wondrous Item,-,100 GP,DMG,-,A magical instrument that assists with writing and transcription.
Integrated Tool,Wondrous Item,-,100 GP,EB,-,A magical tool incorporated into an object so it is always ready for use.
Intrepid Knife,Weapon (dagger),Yes,B+100 GP,GSB,Weapon damage,A magically courageous knife designed to aid a daring wielder in dangerous situations.
Journal of Dreams,Wondrous Item,No,100 GP,GSB,-,"A magical journal associated with recording, influencing, or remembering dreams."
LampLighter,Wand,-,100 GP,EB,-,A magical utility item for lighting lamps and other small light sources.
Leaf Carver,Weapon (dagger),No,B+100 GP,GSB,Weapon's normal damage,"When this jade dagger is used as part of an Intelligence (Nature), Wisdom (Survival), or herbalism-kit check, you can add 1d4 to the roll. Once used, this property recharges at the next dawn. If the added d4 rolls a 4, the knife also produces one goodberry."
Leatherbeard,Wondrous Item,No,100 GP,GSB,-,"Wear or remove this leather mask as an action. While worn, it creates an illusory beard of your chosen color and style up to 2 feet long; a DC 10 Intelligence (Investigation) check reveals the illusion. For each 7 consecutive days you keep it on, there is a cumulative 25% chance the beard becomes real and the mask is destroyed."
Light Sling,Weapon (sling),No,B+100 GP,GSB,No damage,"As an action, speak the command word and hurl a ball of light at a point or target within 30 feet. It sheds bright light for 20 feet and dim light for 20 more. On a hit it deals no damage and sticks for up to 1 minute; an unwilling creature or carried object can avoid it with a DC 10 Dexterity save, and a nearby creature can snuff it out as an action."
Living Wig (Common),Wondrous Item,No,100 GP,GSB,-,"While worn, you can mentally change the wig's hairstyle and color over 1 minute, including connected facial hair. It can produce real-looking hair from 1/4 inch to 3 feet long; cut hair immediately turns to ash. Putting on or removing the wig takes an action, and it returns to its normal form when removed."
Lock of Trickery,Wondrous Item,-,100 GP,DMG,-,A magical lock designed to complicate attempts to open or bypass it.
Magnificent Pocket Vanity,Wondrous Item,No,100 GP,GSB,-,"This palm-sized vanity has 3 uses. As an action, expend 1 use to apply magical makeup to yourself or a willing creature within reach, producing a random disguise-self-style appearance (save DC 13). The illusion can visually change apparent height by up to 5 feet without changing size. After the third use, the vanity becomes nonmagical."
Manifold Tool,Wondrous Item,Attunement,100 GP,EFotA,-,A magical tool capable of taking several useful tool forms.
Mask of Changed Appearance,Wondrous Item,-,100 GP,DMG,-,A mask that magically alters the wearer's visible appearance.
Mask of the Crocodile,Wondrous Item,Yes,100 GP,GSB,-,A crocodile-themed magical mask associated with aquatic or reptilian abilities.
Mechanical Wonder (Common),Wondrous Item,-,Varies,DMG,Cold,A small magical mechanical device intended for useful practical tasks.
Merry Berry,Wondrous Item,No,100 GP,GSB,-,A magical fruit whose cooked form enhances smell and taste-related checks and cooking ability for a time.
Mimic's Smilemaker,Wondrous Item,No,100 GP,GSB,-,Brush your teeth with this magical toothbrush for 1 minute to clean them exceptionally well and freshen your breath. Your teeth then transform into fangs and your tongue becomes blue-purple until you finish a long rest.
Miraculous Bread Box,Wondrous Item,No,100 GP,GSB,-,A magical bread container that preserves or produces useful bread-related effects.
Moon-Touched Sword,Weapon,-,B+100 GP,DMG,Weapon's normal damage,A sword that sheds a soft moonlike magical light.
Mysterious Potion,Potion,No,50 GP,GSB,-,"After drinking this potion, you give off an uncanny air of mystery for 1d4 hours, making other creatures more likely to become suspicious of or intrigued by you; the exact roleplaying effect is left to the GM."
Mystery Key,Wondrous Item,-,50 GP,DMG,-,A magical key that can potentially fit and open an otherwise unknown lock.
Mythallar Bracelet,Wondrous Item,-,100 GP,DMG,-,A magical bracelet associated with the arcane power of mythallars.
Neutralizing Spray,Wondrous Item,No,100 GP,GSB,-,"As an action, spray a 5-foot cube within 5 feet. Creatures and objects in the area are magically cleaned as by prestidigitation, and any remaining odor is suppressed for 10 minutes. The bottle has 4 uses and refills at dawn; after expending the last use, roll a d4, and on a 1 it permanently stops replenishing."
Oaken Candle,Wondrous Item,No,100 GP,GSB,-,"Light this bark-like candle as an action. Its green flame sheds 5 feet of bright light plus 5 feet of dim light. After burning for 1d8 + 4 hours, it is destroyed and, if placed on solid ground with enough room, grows into an oak tree up to 30 feet tall over 10 minutes."
Oil of Tattoos,Potion,No,50 GP,GSB,-,"The flask contains 5 applications. Spend 1 minute applying the oil to a willing creature to create a permanent tattoo of your chosen design. A small tattoo costs 1 application, medium 2, and large 3. The tattoo remains until removed by dispel magic or similar magic."
Orators Quill,Wondrous Item,No,100 GP,GSB,-,"A magical quill that assists with speeches, writing, or persuasive communication."
Orb of Direction,Wondrous Item,-,100 GP,DMG,-,A magical orb that assists with determining direction.
Orb of Remembrance,Wondrous Item,No,100 GP,GSB,-,"As an action, speak the orb's command word to prime it for 1 minute. While primed, squeeze it to capture the surrounding area in a 30-foot radius as a miniature illusory diorama; after 1 minute the orb clears and the scene inside silently replays the next 6 seconds after the captured moment."
Orb of Time,Wondrous Item,-,100 GP,DMG,-,A magical orb that helps track or indicate the passage of time.
Orostead Iced Tea,Potion,No,50 GP,GSB,-,A magical specialty beverage associated with Orostead and designed primarily as a flavorful utility or social item.
Owl Helm,Wondrous Item,No,100 GP,GSB,-,An owl-themed magical helm that improves awareness or provides an owl-related benefit.
Owlbear Snugglebeast,Wondrous Item,No,100 GP,GSB,-,A magical stuffed owlbear companion designed for comfort and whimsical utility.
Pair of Tiny Violin Rings,Ring,No,100 GP,GSB,-,A paired set of rings with a tiny violin theme and a magical performance-oriented effect.
Patch of the Mallard,Wondrous Item,No,100 GP,GSB,-,A magical patch depicting a mallard that provides a minor duck-themed effect.
Patch of the Open Eye,Wondrous Item,No,100 GP,GSB,-,"After attaching the patch for 1 minute, you can't be surprised while wearing it; when it prevents you from being surprised, it falls off and becomes mundane. Alternatively, after making a Perception check but before learning the result, you can remove it to add 1d4 to the check."
Patch of the Pail,Wondrous Item,No,100 GP,GSB,-,A magical patch with a pail motif that provides a minor utility effect.
Patch of the Tome,Wondrous Item,No,100 GP,GSB,-,A magical patch themed around books and spellbooks.
Performers Puppet,Wondrous Item,No,100 GP,GSB,-,A magical puppet designed to assist with performances and entertainment.
Perfume of Bewitching,Wondrous Item,-,50 GP,DMG,-,Magical perfume that makes its wearer more alluring and socially persuasive.
Periscope Rod,Rod,No,100 GP,GSB,-,"While holding this rod to your eye, you can speak its command word to see through the far end as though using a spyglass. As a bonus action you can change the rod's angle and extend or shorten it up to 5 feet; it retracts when removed from your eye."
Permanent Parchment,Wondrous Item,No,100 GP,GSB,-,"As a bonus action, you can lock or unlock the parchment. While locked, it can't be damaged by nonmagical means, existing nonmagical writing can't be altered, and new nonmagical ink runs off it; speaking its clearing command erases the writing."
Phantom Walkers,Wondrous Item,No,100 GP,GSB,-,"These boots increase the DC to track you by your footprints by 5. Once per day, as a bonus action, you can suppress your own tracks for 1 minute while creating a false trail that can extend up to 300 feet and lasts 8 hours; a DC 13 Arcana check identifies it as magical."
Pipe of Delicious Smells,Wondrous Item,No,100 GP,GSB,-,"While smoking the empty pipe, you can use an action to exhale a puff of smoke that smells like a food of your choice. The aroma lingers only for a few seconds."
Pipe of Smoke Monsters,Wondrous Item,-,100 GP,DMG,-,A pipe that produces harmless smoke shapes resembling creatures.
Pole of Angling,Wondrous Item,-,100 GP,DMG,-,A magical fishing pole that assists with catching fish.
Pole of Collapsing,Wondrous Item,-,100 GP,DMG,-,A pole that magically collapses to a compact size for carrying.
Pollen Pipe,Wondrous Item,No,100 GP,GSB,-,Smoking this otherwise empty pipe produces aromatic pollen instead of normal smoke. Flowers within 10 feet bloom and turn toward the pipe while it is being smoked.
Poltergeist Candle Holder,Wondrous Item,No,100 GP,GSB,-,"While it holds a candle, you can use a bonus action and command word to make this holder hover over your shoulder and follow you. A lit candle's smoke hangs unnaturally still for about 6 seconds before dissipating."
Pomade of Ten Thousand Styles,Wondrous Item,No,100 GP,GSB,-,Magical hair pomade that lets the user dramatically alter hairstyle and appearance.
Pop-Up Business Card,Wondrous Item,No,100 GP,GSB,-,A magical business card that can create a convenient miniature presentation or contact display.
Portable HEarth,Wondrous Item,No,100 GP,GSB,-,"As an action, place this 4-inch disk on a flat surface and set its dial to warm the surrounding area by up to 50°F, never above 80°F. You choose a radius up to 30 feet, with walls and ceilings blocking the effect; the temperature changes over 1 minute."
Pot of Awakening,Wondrous Item,-,50 GP,DMG,-,A magical pot capable of awakening a plant into a simple sentient creature.
Potion of Climbing,Potion,-,50 GP,DMG,-,A potion that grants enhanced climbing ability for a limited duration.
Potion of Comprehension,Potion,-,50 GP,DMG,-,A potion that magically assists the drinker in understanding written languages.
Potion of Healing (Common),Potion,-,Varies,DMG,-,A restorative potion that magically restores hit points.
Profane Mask,Wondrous Item,No,100 GP,GSB,-,"While worn over your mouth, ordinary words you speak are heard by others as obscenities, though you hear yourself normally. A DC 10 Investigation or Insight check can reveal the distortion; verbal spell components, command words, and actual curses are unaffected."
Prosthetic Limb,Wondrous Item,-,100 GP,DMG,-,A magical replacement limb that functions much like the natural limb it replaces.
Quicksilver Clay,Wondrous Item,No,100 GP,GSB,-,"This 1-inch orb of silvery liquid can be reshaped in your palm as an action into any form no larger than your hand. It remains liquid, holds the chosen shape while you concentrate on it, and returns to an orb when your focus ends or it leaves your hand."
