Name,Type,Attunement,Price,Source,Damage,Description
Bag of Goodberry Gummy Fish,Wondrous Item,No,400 GP,GSB,-,"Bag of Goodberry Gummy Fish is a magical container with unusual storage, conjuration, retrieval, or utility properties."
Bag of Holding,Wondrous Item,-,400 GP,DMG,-,"This extradimensional bag can hold far more than its outside dimensions suggest, up to its magical weight and volume limits."
Bag of Irresistible Leaves,Wondrous Item,No,400 GP,GSB,-,"Bag of Irresistible Leaves is a magical container with unusual storage, conjuration, retrieval, or utility properties."
Bag of Sundrops,Wondrous Item,No,400 GP,GSB,-,"Bag of Sundrops is a magical container with unusual storage, conjuration, retrieval, or utility properties."
Bag of the Burglar,Wondrous Item,No,400 GP,GSB,-,"Bag of the Burglar is a magical container with unusual storage, conjuration, retrieval, or utility properties."
Bag of Tricks,Wondrous Item,-,400 GP,DMG,-,You can pull fuzzy objects from this bag and throw them to summon random friendly beasts for a limited time.
Ball of Giant Spiderweb,Wondrous item,No,400 GP,GSB,-,"Ball of Giant Spiderweb is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Ballista Pike,Weapon (pike),No,400 GP,GSB,Weapon's normal damage,"Ballista Pike is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Ballista Prosthesis,Wondrous Item,"Yes-Missing an Arm, Forearm, or Hand",400 GP,GSB,-,"Ballista Prosthesis is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Bane Shield,Armor (shield),Yes,400 GP,GSB,-,"Bane Shield is enchanted armor that grants a special defensive, movement, sensory, or environmental benefit related to its theme."
Bangle of Sun and Moon,Wondrous Item,Yes,400 GP,GSB,-,"Bangle of Sun and Moon is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Barge Helm,Wondrous Item,No,400 GP,GSB,-,"Barge Helm is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Barricade Shield,Armor (shield),No,400 GP,GSB,-,"Barricade Shield is enchanted armor that grants a special defensive, movement, sensory, or environmental benefit related to its theme."
Baton of Many Sizes,Rod,No,400 GP,GSB,-,Baton of Many Sizes is a magical rod or baton that can be activated to produce a specialized utility or combat effect.
Battery Shield,Armor (shield),No,400 GP,GSB,-,"Battery Shield is enchanted armor that grants a special defensive, movement, sensory, or environmental benefit related to its theme."
Battlebeat Club,Weapon (club),No,400 GP,GSB,Weapon's normal damage,"Battlebeat Club is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Battlebeat Drum,Armor (shield),No,400 GP,GSB,-,"Battlebeat Drum is enchanted armor that grants a special defensive, movement, sensory, or environmental benefit related to its theme."
Battlebrew Bomb,Wondrous Item,No,400 GP,GSB,-,"Battlebrew Bomb is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Battlechef Beater,Weapon (mace),No,400 GP,GSB,Weapon's normal damage,"Battlechef Beater is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Battlechef Buckler,Armor (shield),No,400 GP,GSB,-,"Battlechef Buckler is enchanted armor that grants a special defensive, movement, sensory, or environmental benefit related to its theme."
Battlechef Field Dresser,Weapon (dagger),Yes,400 GP,GSB,Weapon's normal damage,"Battlechef Field Dresser is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Battlechef Pulverizers,Wondrous Item,No,400 GP,GSB,-,"Battlechef Pulverizers is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Battlechef's Serving Bowls,Wondrous Item,No,400 GP,GSB,Weapon's normal damage,"Battlechef's Serving Bowls is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Battlement Bow,Weapon (any bow),Yes,400 GP,GSB,Weapon's normal damage,"Battlement Bow is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Battletax,Weapon (battleaxe),Yes,400 GP,GSB,Weapon's normal damage,"Battletax is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Beard Cannon,Wondrous Item,Yes,400 GP,GSB,-,"Beard Cannon is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Behirazooka (Uncommon),Weapon,No,B+400 GP,GSB,Weapon's normal damage,"Behirazooka is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Bellhop Topper,Wondrous Item,No,400 GP,GSB,-,Bellhop Topper is a magical instrument that creates a limited supernatural effect when played.
Big Cat Slippers,Wondrous Item,No,400 GP,GSB,-,Big Cat Slippers is magical footwear that enhances movement or grants a terrain- or travel-related supernatural benefit.
Birder's Sling Staff,Weapon (quarterstaff),Yes,400 GP,GSB,Weapon's normal damage,"Birder's Sling Staff is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Biting Sickle,Weapon (sickle),No,400 GP,GSB,Weapon's normal damage,"Biting Sickle is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Blast Javelin,Weapon (javelin),No,400 GP,GSB,Weapon's normal damage,"Blast Javelin is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Blast Ooze,Wondrous Item,No,400 GP,GSB,Acid,"Blast Ooze is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Bletherby's Bootlegs,Wondrous Item,No,400 GP,GSB,-,"Bletherby's Bootlegs is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Bloodhound Amulet,Wondrous Item,No,400 GP,GSB,-,"Bloodhound Amulet is a magical neck-worn item that provides a protective, sensory, restorative, or spell-like benefit while worn."
Bloodhound Charm,Wondrous item,No,400 GP,GSB,-,"Bloodhound Charm is a small magical charm that grants a limited protective, utility, or luck-related benefit."
Bloodmire Phiale,Wondrous Item,No,400 GP,GSB,-,"Bloodmire Phiale is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Bloodthirsty Bistoury,Weapon (dagger),Yes-Evil Aligned,400 GP,GSB,Weapon's normal damage,"Bloodthirsty Bistoury is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Bloodthirsty Trident,Weapon (trident),No,400 GP,GSB,Weapon's normal damage,"Bloodthirsty Trident is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Blowfish Armor,Armor (padded),No,400 GP,GSB,-,"Blowfish Armor is enchanted armor that grants a special defensive, movement, sensory, or environmental benefit related to its theme."
Boing Boing Bon Bon,Wondrous Item,No,400 GP,GSB,-,"Boing Boing Bon Bon is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Bolt of Inspiration,Weapon (arrow or bolt),No,400 GP,GSB,Weapon's normal damage,"Bolt of Inspiration is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Bone Picker,Weapon (war pick),No,400 GP,GSB,Weapon's normal damage,"Bone Picker is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Book of Clothiers Croquis,Wondrous Item,No,400 GP,GSB,-,"Book of Clothiers Croquis is a magical written work that grants knowledge, improves a skill, or produces a limited spell-like effect when studied."
Boomerang Sickle,Weapon (sickle),No,400 GP,GSB,Weapon's normal damage,"Boomerang Sickle is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Boots of Elvenkind,Wondrous Item,-,400 GP,DMG,-,"Your steps make no sound while you wear these boots, making you much better at moving silently."
Boots of Striding and Springing,Wondrous Item,Attunement,400 GP,DMG,-,"While wearing these boots, your walking speed is at least 30 feet and your jumping distance is greatly increased."
Boots of the Cloud Jumper,Wondrous Item,Yes,400 GP,GSB,-,Boots of the Cloud Jumper is magical footwear that enhances movement or grants a terrain- or travel-related supernatural benefit.
Boots of the Winding Path,Wondrous Item,Attunement,400 GP,EFotA,-,Boots of the Winding Path is magical footwear that enhances movement or grants a terrain- or travel-related supernatural benefit.
Boots of the Winterlands,Wondrous Item,Attunement,400 GP,DMG,Cold,"You have resistance to cold damage, ignore difficult terrain caused by ice or snow, and tolerate extreme cold."
Borbos's Marvelous Magic Marker (Uncommon),Wondrous Item,No,400 GP,GSB,-,"This self-inking marker can replace ink and a quill, and its ink color can be changed as a bonus action. Once per dawn, you can triple-click it to make the brush erase ink for up to 1 minute instead, removing up to 1 square foot of ink containing no more than 150 characters or 25 words."
Bottled Talent,Potion,No,200 GP,GSB,-,"Bottled Talent is a magical vessel that stores, creates, releases, or transforms a substance or effect when activated."
Bottled Will-o'-Wisp,Wondrous Item,No,400 GP,GSB,-,"Bottled Will-o'-Wisp is a magical vessel that stores, creates, releases, or transforms a substance or effect when activated."
Bottled Yawn,Wondrous Item,No,400 GP,GSB,-,"Bottled Yawn is a magical vessel that stores, creates, releases, or transforms a substance or effect when activated."
Bounty Hunter Enforcer,Weapon (quarterstaff),No,400 GP,GSB,Force,"Bounty Hunter Enforcer is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Bountyfinder's Tricorn,Wondrous Item,No,400 GP,GSB,-,"Bountyfinder's Tricorn is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Bowstring Amulet,Wondrous Item,No,400 GP,GSB,Weapon's normal damage,"Bowstring Amulet is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Bracelet of the Centipede,Wondrous Item,No,400 GP,GSB,-,"Bracelet of the Centipede is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Bracers of Archery,Wondrous Item,Attunement,400 GP,DMG,-,"While wearing these bracers, you gain proficiency with bows and a bonus to damage rolls made with them."
Braided Quarterstaff,Weapon (quarterstaff),No,400 GP,GSB,Weapon's normal damage,"Braided Quarterstaff is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Bramble Buckler,Armor (shield),"Yes-Druid, Ranger",400 GP,GSB,-,"Bramble Buckler is enchanted armor that grants a special defensive, movement, sensory, or environmental benefit related to its theme."
Bramble Token Cuff,Wondrous Item,No,400 GP,GSB,-,"Bramble Token Cuff is a small magical charm that grants a limited protective, utility, or luck-related benefit."
Brawler's Ring,Ring,No,400 GP,GSB,-,Brawler's Ring is a magical ring that grants its wearer a limited supernatural ability or passive benefit reflecting the ring's theme.
Brooch of Shielding,Wondrous Item,Attunement,400 GP,DMG,Force,You have resistance to force damage and immunity to damage from the magic missile spell while wearing this brooch.
Broom of Flying,Wondrous Item,Attunement,400 GP,DMG,-,This magic broom can fly while carrying a rider and can travel to a named destination on command.
Brutal Macuahuitl,Weapon (longsword),No,400 GP,GSB,Weapon's normal damage,"Brutal Macuahuitl is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Bug Smashers,Wondrous Item,No,400 GP,GSB,-,"Bug Smashers is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Bulette Bulwark,Armor (shield),Yes,400 GP,GSB,-,"Bulette Bulwark is enchanted armor that grants a special defensive, movement, sensory, or environmental benefit related to its theme."
Bullfrog Bugle,Wondrous Item,No,400 GP,GSB,-,"Bullfrog Bugle is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Burrage's Collegiate Case,Wondrous Item,No,400 GP,GSB,-,"Burrage's Collegiate Case is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Cactus Mace,Weapon (mace),No,400 GP,GSB,Weapon's normal damage,"Cactus Mace is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Calligrapher's Shade,Wondrous Item,Yes,400 GP,GSB,-,"Calligrapher's Shade is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Camper's Respite,Rod,No,400 GP,GSB,-,Camper's Respite is a magical rod or baton that can be activated to produce a specialized utility or combat effect.
Candle of Antilight,Wondrous Item,No,400 GP,GSB,-,"Candle of Antilight is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Candlecover Hat,Wondrous Item,Yes-Spellcaster,400 GP,GSB,-,"Candlecover Hat is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Candleflame Bow,Weapon (any bow or crossbow),Yes,400 GP,GSB,Fire,"Candleflame Bow is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Canister of Vreyval's Soothing Tea,Wondrous Item,No,400 GP,GSB,-,"Canister of Vreyval's Soothing Tea is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Cap of Vanishing,Wondrous Item,Attunement,400 GP,WtHC,-,"Cap of Vanishing is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Cap of Water Breathing,Wondrous Item,-,400 GP,DMG,-,"While wearing this cap underwater, you can create a bubble of breathable air around your head."
Carrion War Pick,Weapon (war pick),No,400 GP,GSB,Weapon's normal damage,"Carrion War Pick is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Carrion War Pick,Weapon (war pick),No,400 GP,GSB,Weapon's normal damage,"Carrion War Pick is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Cat Eye Glasses,Wondrous Item,No,400 GP,GSB,-,"Cat Eye Glasses is a magical visual aid that enhances sight or grants a special way to perceive creatures, objects, or hidden details."
Celestial Sunrise Potion (Uncommon),Potion,No,200 GP,GSB,-,"The common potion makes light shine from your mouth for 1 hour in a 20-foot cone of bright light plus 20 feet of dim light. The uncommon version instead lasts 8 hours, lets you see normally through magical and nonmagical darkness, and increases those light ranges to 40 feet each."
Censer Chime (Uncommon),Wondrous Item,No,400 GP,GSB,-,"Censer Chime is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Cernivorous Coin Pouch,Wondrous Item,Yes,400 GP,GSB,-,"Cernivorous Coin Pouch is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Champaign Saber,Weapon (scimitar),Yes,400 GP,GSB,Weapon's normal damage,"Champaign Saber is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Chapel Lantern,Wondrous Item,No,400 GP,GSB,-,"Chapel Lantern produces or manipulates magical light and may reveal, ward against, or affect creatures within its illumination."
Charging Bugle,Wondrous Item,No,400 GP,GSB,-,"Charging Bugle is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Charlatans Wardrobe,Wondrous Item,No,400 GP,GSB,-,"Charlatans Wardrobe is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Choas Reins,Wondrous Item,Yes,400 GP,GSB,-,"Choas Reins is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Chromacloth,Weapon (sling),No,400 GP,GSB,Weapon's normal damage,"Chromacloth is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Chromatic Obsidian Orb (Uncommon),Wondrous Item,Yes-Spellcaster,400 GP,GSB,-,"Chromatic Obsidian Orb is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Circlet of Blasting,Wondrous Item,-,400 GP,DMG,Fire,"Once per day, this circlet can cast scorching ray."
Clangor Clapper,Weapon (club or mace),No,400 GP,GSB,Weapon's normal damage,"Clangor Clapper is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Claw Sickle,Weapon (sickle),Yes-Lycanthrope,400 GP,GSB,Weapon's normal damage,"Claw Sickle is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Claymore of the Great Badger,Weapon (greatsword),Yes,400 GP,GSB,Weapon's normal damage,"Claymore of the Great Badger is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Clear Bell,Wondrous Item,No,400 GP,GSB,-,Clear Bell is a magical instrument that creates a limited supernatural effect when played.
Cloak of Daggers,Wondrous Item,Yes,400 GP,GSB,Weapon's normal damage,"Cloak of Daggers is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Cloak of Elvenkind,Wondrous Item,Attunement,400 GP,DMG,-,"While wearing this cloak with its hood up, you are harder to see and better able to hide."
Cloak of Protection,Wondrous Item,Attunement,400 GP,DMG,-,"While wearing this cloak, you gain a +1 bonus to AC and saving throws."
Cloak of the Manta Ray,Wondrous Item,Attunement,400 GP,DMG,-,"While wearing this cloak with its hood up underwater, you can breathe underwater and gain a fast swimming speed."
Clockwork Earwig,Wondrous Item,No,400 GP,GSB,-,"Clockwork Earwig is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Clockwork Faefly,Wondrous Item,No,400 GP,GSB,-,"Clockwork Faefly is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Clockwork Inkbeetle,Wondrous Item,No,400 GP,GSB,-,"Clockwork Inkbeetle is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Clockwork Mend-A-Pillar,Wondrous Item,No,400 GP,GSB,-,"Clockwork Mend-A-Pillar is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Club of Dancing,Weapon (club),Yes,400 GP,GSB,Weapon's normal damage,"Club of Dancing is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Club of the Forest Drake,Weapon (club),No,400 GP,GSB,Weapon's normal damage,"Club of the Forest Drake is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Club of the Rook,Weapon (club),No,400 GP,GSB,Weapon's normal damage,"Club of the Rook is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Coat of Manty Eyes (Uncommon),Armor,Attunement,B+400 GP,EB,-,"Coat of Manty Eyes is enchanted armor that grants a special defensive, movement, sensory, or environmental benefit related to its theme."
Coil Crook,Staff,No,400 GP,GSB,-,"Coil Crook is a consumable magical preparation that grants a temporary restorative, transformative, protective, or utility effect when used."
Comet Dart,Weapon (dart),No,400 GP,GSB,Weapon's normal damage,"Comet Dart is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Compass Blowgun,Weapon (blowgun),Yes,400 GP,GSB,Weapon's normal damage,"Compass Blowgun is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Contact Lenses,Wondrous Item,Yes,400 GP,GSB,-,"Contact Lenses is a magical visual aid that enhances sight or grants a special way to perceive creatures, objects, or hidden details."
Coralshield Golem,Armor (shield),Yes,400 GP,GSB,-,"Coralshield Golem is enchanted armor that grants a special defensive, movement, sensory, or environmental benefit related to its theme."
Corsage of the Hidden Thorn,Wondrous Item,No,400 GP,GSB,-,Corsage of the Hidden Thorn is a magical instrument that creates a limited supernatural effect when played.
Couatl Heralds Guard,Armor (shield),Yes-Good Aligned,400 GP,GSB,-,"Couatl Heralds Guard is enchanted armor that grants a special defensive, movement, sensory, or environmental benefit related to its theme."
Couatl Heralds Mantle,Wondrous Item,Yes-Good Aligned,400 GP,GSB,-,"Couatl Heralds Mantle is a magical garment that grants a protective, movement, concealment, or transformation effect while worn."
Courtesans Fanblade,Weapon (dagger),Yes,400 GP,GSB,Weapon's normal damage,"Courtesans Fanblade is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Covolt Dagger,Weapon (dagger),No,400 GP,GSB,Weapon's normal damage,"Covolt Dagger is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Crawling Gauntlet,Wondrous Item,Attunement,400 GP,EB,-,"Crawling Gauntlet is a magical hand-worn item that improves a physical task, attack, defense, or interaction tied to its theme."
Crier's Scroll Case,Wondrous Item,Yes,400 GP,GSB,-,"Crier's Scroll Case is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Crier's Scroll Case,Wondrous item,Yes,400 GP,GSB,-,"Crier's Scroll Case is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Crossbow of the Flying Fist,"Weapon (crossbow, hand)",Yes,400 GP,GSB,Weapon's normal damage,"Crossbow of the Flying Fist is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Crow Coin,Wondrous Item,No,400 GP,GSB,-,"Crow Coin is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Crowfoot's Cane,Weapon (musket),No,400 GP,GSB,Weapon's normal damage,"Crowfoot's Cane is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
Cuff of Captions,Wondrous Item,Yes,400 GP,GSB,-,"Cuff of Captions is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Curse Cutter,Wondrous Item,No,400 GP,GSB,-,"Curse Cutter is an uncommon magical wondrous item that grants a distinctive utility, defensive, or combat-related supernatural effect associated with its theme."
Dagger of First Light,Weapon (dagger),No,400 GP,GSB,Weapon's normal damage,"Dagger of First Light is a magical weapon with an additional combat effect, special attack option, or utility property associated with its theme."
