Name,Type,Attunement,Price,Source,Damage,Description
Astral Sea Piercer (Legendary),Weapon (war pick),Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Astral Sea Piercer is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Axe of Essential Inversion (Legendary),Weapon (greataxe),Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Axe of Essential Inversion is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Battleborn Gloves (Legendary),Wondrous Item,Yes,"200,000 GP",GSB,-,"Battleborn Gloves is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Belt of Giant Strength (Legendary),Wondrous Item,Attunement,Varies,DMG,-,"While worn, this belt sets the wearer's Strength to a value determined by the giant type associated with the belt, unless the wearer's Strength is already higher."
Black Hole (Legendary),Weapon (longsword or rapier),Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Black Hole is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Blade of the Unbroken Circle (Legendary),Weapon (longsword),Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Blade of the Unbroken Circle is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Blindfold of Judgement (Legendary),Wondrous Item,Yes-Lawful,"200,000 GP",GSB,-,"Blindfold of Judgement is a legendary magical focus or object that stores, reveals, enhances, or releases a powerful supernatural effect."
Blooddrinker (Legendary),Weapon (greataxe),Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Blooddrinker is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Bloodmire Soulflame Lantern (Legendary),Wondrous Item,Yes,"200,000 GP",GSB,Fire,"Bloodmire Soulflame Lantern is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Bloodscryer Oculus (Legendary),Wondrous Item,Yes-Ranger,"200,000 GP",GSB,-,"Bloodscryer Oculus is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Blue Dragon Horn Shield (Legendary),Armor (shield),Yes,"B+200,000 GP",GSB,-,"Blue Dragon Horn Shield is a legendary magical defensive item with powerful protective, reactive, movement, or environmental properties associated with its enchantment."
Bolide Blade (Legendary),Weapon (longsword),Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Bolide Blade is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Breastplate of Kamvuul Norek (Legendary),Armor,Attunement,"200,000 GP",EB,-,"Breastplate of Kamvuul Norek is a legendary magical defensive item with powerful protective, reactive, movement, or environmental properties associated with its enchantment."
Call and Response (Legendary),Weapon (dagger and rapier),Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Call and Response is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Candelabra Scepter (Legendary),Rod,Yes-Spellcaster,"200,000 GP",GSB,-,"Candelabra Scepter is a legendary magical rod with a potent activated utility, control, defensive, or combat effect."
Celestial Ambrosia (Legendary),Potion,No,"100,000 GP",GSB,Radiant,"Celestial Ambrosia is a legendary consumable magic item that produces a powerful temporary restorative, transformative, protective, or spell-like effect when used."
Celestial Bident (Legendary),Weapon (trident),"Yes-Cleric, Paladin","B+200,000 GP",GSB,Radiant + weapon's normal damage,"Celestial Bident is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Celestial Gate (Legendary),Wondrous item,No,"200,000 GP",GSB,Radiant,"Celestial Gate is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Censer Chime (Legendary),Wondrous Item,No,"200,000 GP",GSB,-,"Censer Chime is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Chillspike (Legendary),Weapon (pike),Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Chillspike is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Circlet of Resonant Spheres (Legendary),Wondrous Item,"Yes-Bard, Wizard","200,000 GP",GSB,-,"Circlet of Resonant Spheres is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Cloak of Invisibility (Legendary),Wondrous Item,Attunement,"200,000 GP",DMG,-,"Pulling up this cloak's hood makes the wearer invisible. The cloak can sustain invisibility for a limited total duration, measured in increments while the hood is up, and regains expended duration after it has not been used for a period of time."
Cloak of the Midwinter Solsticekeeper (Legendary),Wondrous Item,Yes,"200,000 GP",GSB,Cold,"Cloak of the Midwinter Solsticekeeper is a legendary magical garment that grants a powerful protective, concealment, movement, sensory, or transformation effect."
Coldfire Phoenix Draft (Legendary),Potion,No,"100,000 GP",GSB,Fire + Cold,"Coldfire Phoenix Draft is a legendary consumable magic item that produces a powerful temporary restorative, transformative, protective, or spell-like effect when used."
Corvus Pyre (Legendary),Weapon (halberd or quarterstaff),Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Corvus Pyre is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Crown of Calamity (Legendary),Wondrous Item,Yes,"200,000 GP",GSB,-,"Crown of Calamity is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Crown of Storms (Legendary),Wondrous Item,Yes,"200,000 GP",GSB,-,"Crown of Storms is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Crown of the Cursed King (Legendary),Wondrous Item,Yes,"200,000 GP",GSB,-,"Crown of the Cursed King is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Crypt Keeper Glaive (Legendary),Weapon (glaive),Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Crypt Keeper Glaive is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Crystal Ball of Mind Reading (Legendary),Wondrous Item,Attunement,"200,000 GP",DMG,-,"This crystal ball functions as a powerful scrying focus. While observing a creature through it, the user can also employ mind-reading magic against that creature."
Crystal Ball of Storms (Legendary),Wondrous Item,Yes,"200,000 GP",GSB,-,"Crystal Ball of Storms is a legendary magical focus or object that stores, reveals, enhances, or releases a powerful supernatural effect."
Crystal Ball of Telepathy (Legendary),Wondrous Item,Attunement,"200,000 GP",DMG,-,This crystal ball functions as a scrying focus and additionally allows telepathic communication with a creature being observed through it.
Crystal Ball of True Seeing (Legendary),Wondrous Item,Attunement,"200,000 GP",DMG,-,This crystal ball functions as a scrying focus and grants truesight while the user looks through it.
Cubic Gate (Legendary),Wondrous Item,-,"200,000 GP",DMG,-,Each face of this cube is keyed to a plane. Spending charges can open a gate to the plane linked to a selected face or banish nearby creatures to their native planes; the cube regains expended charges.
Cursive (Legendary),Weapon (rapier),Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Cursive is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Cymrith (Legendary),Weapon (rapier),Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Cymrith is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Davy Jones' Key (Legendary),Weapon (trident),Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Davy Jones' Key is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Death's Shadow (Legendary),Wondrous Item,Yes,"200,000 GP",GSB,Necrotic,"Death's Shadow is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Deck of Many Things (Legendary),Wondrous Item,-,"200,000 GP",DMG,Varies,"This legendary deck produces powerful, unpredictable effects when cards are deliberately drawn. Results range from major rewards and permanent boons to imprisonment, loss of possessions, hostile creatures, or other campaign-changing consequences."
Defender (Legendary),Weapon,Attunement,"B+200,000 GP",DMG,Weapon's normal damage,This +3 magic sword lets its wielder transfer some or all of the weapon's enhancement bonus from attack and damage rolls to Armor Class until the start of the wielder's next turn.
Dragon Queen's Cloak (Legendary),Wondrous Item,Yes,"200,000 GP",GSB,-,"Dragon Queen's Cloak is a legendary magical garment that grants a powerful protective, concealment, movement, sensory, or transformation effect."
Dragon Tamer Lance (Legendary),Weapon (lance),Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Dragon Tamer Lance is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Dragon-kindled Edge (Legendary),Weapon (longsword),Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Dragon-kindled Edge is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Dragonkin Weapon (Legendary),Weapon (any melee),Yes-Dragonborn,"B+200,000 GP",GSB,Weapon's normal damage,"Dragonkin Weapon is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Dragonscale Whetstone (Legendary),Wondrous Item,No,"200,000 GP",GSB,-,"Dragonscale Whetstone is a legendary magical focus or object that stores, reveals, enhances, or releases a powerful supernatural effect."
Dragonwing Scimitars (Legendary),Weapon (scimitar),Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Dragonwing Scimitars is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Drift Bangles (Legendary),Wondrous Item,Yes,"200,000 GP",GSB,-,"Drift Bangles is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Drift Bangles (Legendary),Wondrous item,Yes,"200,000 GP",GSB,-,"Drift Bangles is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Efreeti Bangles (Legendary),Wondrous Item,Yes,"200,000 GP",GSB,-,"Efreeti Bangles is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Efreeti Chain (Legendary),Armor,Attunement,"B+200,000 GP",DMG,-,"This +3 chain mail grants immunity to fire damage, lets the wearer understand and speak Primordial, and allows the wearer to move safely across molten rock as though it were solid ground."
Emberheart Hammer (Legendary),Weapon (warhammer),Yes,"B+200,000 GP",GSB,Fire + weapon's normal damage,"Emberheart Hammer is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Enspelled Armor (Legendary),Armor,Attunement,Varies,DMG,Varies,"This magic armor stores a specific spell. While wearing it, the attuned user can expend one of the armor's charges to cast that spell using the item's fixed spellcasting parameters; expended charges return after a long rest or at dawn, depending on the version."
Enspelled Staff (Legendary),Staff,Attunement,Varies,DMG,Weapon's normal damage / varies,This magic staff stores a specific spell. An attuned wielder can expend charges to cast the stored spell using the staff's fixed spellcasting parameters; it also functions as a magic staff weapon.
Enspelled Weapon (Legendary),Weapon,Attunement,Varies,DMG,Weapon's normal damage / varies,This magic weapon stores a specific spell. An attuned wielder can expend charges to cast that spell using the item's fixed spellcasting parameters while retaining the weapon's normal combat properties.
Eternal Slayer (Legendary),Weapon (any sword),Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Eternal Slayer is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Eye of Iron Sight (Legendary),Wondrous Item,Yes-Missing an Eye,"200,000 GP",GSB,-,"Eye of Iron Sight is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Fell-Rider Chariot (Legendary),Wondrous Item,No,"200,000 GP",GSB,-,"Fell-Rider Chariot is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Festerwoods Light (Legendary),Weapon (rapier),Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Festerwoods Light is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Fists of Fury (Legendary),Wondrous Item,Yes,"200,000 GP",GSB,-,"Fists of Fury is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Forgemasters Might (Legendary),Weapon (warhammer or maul),Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Forgemasters Might is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Form of Order (Legendary),Weapon (longsword),Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Form of Order is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Fūjin Reactor (Legendary),Rod,Yes-Spellcaster,"200,000 GP",GSB,-,"Fūjin Reactor is a legendary magical rod with a potent activated utility, control, defensive, or combat effect."
Gladius of the Everfighter (Legendary),Weapon (shortsword),Yes-Fighter,"B+200,000 GP",GSB,Weapon's normal damage,"Gladius of the Everfighter is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Glaive of the Revenant King (Legendary),Weapon (glaive),Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Glaive of the Revenant King is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Godsteel Barrier (Legendary),Armor (shield),Yes,"B+200,000 GP",GSB,-,"Godsteel Barrier is a legendary magical defensive item with powerful protective, reactive, movement, or environmental properties associated with its enchantment."
Godsteel Wargauntlets (Legendary),Wondrous Item,Yes,"200,000 GP",GSB,-,"Godsteel Wargauntlets is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Godsteel Warplate (Legendary),Armor (plate),Yes,"B+200,000 GP",GSB,-,"Godsteel Warplate is a legendary magical defensive item with powerful protective, reactive, movement, or environmental properties associated with its enchantment."
Godsteel Worldcarver (Legendary),Weapon (greatsword or longsword),Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Godsteel Worldcarver is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Gorget of the Holy Soldier (Legendary),Wondrous Item,Yes-Good Aligned,"200,000 GP",GSB,Radiant,"Gorget of the Holy Soldier is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Grasp of Gravity (Legendary),Wondrous Item,Yes,"200,000 GP",GSB,-,"Grasp of Gravity is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Guardian's Reliquary (Legendary),Wondrous Item,Yes-Missing an Arm,"200,000 GP",GSB,-,"Guardian's Reliquary is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
H'rethi Desperation (Legendary),Weapon (greatsword),Yes,"B+200,000 GP",GSB,Weapon's normal damage,"H'rethi Desperation is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Hag's Claw (Legendary),Weapon (dagger),Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Hag's Claw is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Hailstorm Bow (Legendary),Weapon (longbow),Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Hailstorm Bow is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Half Plate of the Blind Martyr (Legendary),Armor (halfplate),Yes-Cleric,"B+200,000 GP",GSB,-,"Half Plate of the Blind Martyr is a legendary magical defensive item with powerful protective, reactive, movement, or environmental properties associated with its enchantment."
Hammer of Thunderbolts (Legendary),Weapon,Attunement,"B+200,000 GP",DMG,Weapon's normal damage,"This magic maul grants a bonus to attack and damage rolls. When used together with gauntlets of ogre power and a belt of giant strength, it can unlock stronger abilities, including increased Strength and a thrown thunderous attack that can stun creatures."
Heart of Damned Intervention (Legendary),Wondrous Item,"Yes-Cleric, Paladin","200,000 GP",GSB,-,"Heart of Damned Intervention is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Heaven's Edge (Legendary),Weapon (dagger),Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Heaven's Edge is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Heavens Gavel (Legendary),Weapon (maul),Yes-Good Aligned,"B+200,000 GP",GSB,Weapon's normal damage,"Heavens Gavel is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Helios Spear (Legendary),Weapon (spear),Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Helios Spear is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Helm of the Dawn Guardian (Legendary),Wondrous Item,Yes,"200,000 GP",GSB,-,"Helm of the Dawn Guardian is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Helm of the Justicars (Legendary),Wondrous Item,Yes,"200,000 GP",GSB,-,"Helm of the Justicars is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Hide of the Wild Guardian (Legendary),Wondrous Item,Yes-Druid,"200,000 GP",GSB,-,"Hide of the Wild Guardian is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Holy Avenger (Legendary),Wondrous Item,Attunement,"B+200,000 GP",DMG,Weapon's normal damage + radiant,"This +3 magic weapon deals extra radiant damage to fiends and undead. In the hands of a paladin, it also projects an aura that grants allies strong protection against spells and magical effects."
Horn of Valhalla (Legendary),Wondrous Item,-,Varies,DMG,Weapon damage from summoned warriors,"Blowing this horn summons spectral berserk warriors that fight for the user for a limited time. The number and requirements depend on the horn's material, and the horn cannot be used again for several days."
Houseward (Legendary),Wondrous Item,-,"100,000 GP",EB,-,"Houseward is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Hrathi Soul Scepter (Legendary),Rod,Yes-Spellcaster,"200,000 GP",GSB,-,"Hrathi Soul Scepter is a legendary magical rod with a potent activated utility, control, defensive, or combat effect."
Indigo Stray's Conviction (Legendary),Wondrous Item,Yes,"200,000 GP",GSB,-,"Indigo Stray's Conviction is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Infernal Chess Set (Legendary),Wondrous Item,No,"200,000 GP",GSB,-,"Infernal Chess Set is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Infernal Enforcer (Legendary),Weapon (pistol),Yes,"B+200,000 GP",GSB,Force + weapon's normal damage,"Infernal Enforcer is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Instrument of the Bards (Legendary),Wondrous Item,Attunement,Varies,DMG,Varies,"This magical instrument can cast a set of spells, with additional spells determined by the instrument's type. A bard attuned to it also makes charm effects created by spells cast through the instrument harder to resist."
Ioun Stone (Legendary),Wondrous Item,Attunement,Varies,DMG,Varies,"When released, this magic stone orbits the user's head and grants a benefit determined by its type. The stone can be attacked or grabbed while orbiting and can be suppressed by certain magic."
Iron Flask (Legendary),Wondrous Item,-,"200,000 GP",DMG,Varies,"This iron bottle can imprison an extraplanar creature that fails a saving throw. Opening the flask releases the captive, and the creature may obey the opener for a limited time depending on how it was captured."
Life Turner (Legendary),Wondrous Item,No,"200,000 GP",GSB,-,"Life Turner is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Life's Edge (Legendary),Weapon (greatsword),Yes-Paladin,"B+200,000 GP",GSB,Weapon's normal damage,"Life's Edge is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Lightseer's Gaze (Legendary),Wondrous Item,Yes-Monk,"200,000 GP",GSB,-,"Lightseer's Gaze is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Loves Embrace (Legendary),Weapon (greatsword),Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Loves Embrace is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Luck Blade (Legendary),Weapon,Attunement,"B+200,000 GP",DMG,Weapon's normal damage,"This magic sword grants a bonus to attack and damage rolls and gives its bearer a bonus to saving throws. It also has a limited luck ability that can reroll an attack roll, ability check, or saving throw, and some luck blades contain charges of wish."
Mage Eater Scythe (Legendary),Weapon (glaive),Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Mage Eater Scythe is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Mark of the Everglacier Monarch (Legendary),Wondrous Item,Yes-Spellcaster,"200,000 GP",GSB,Cold,"Mark of the Everglacier Monarch is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Mask of the Jackal (Legendary),Wondrous Item,Yes,"200,000 GP",GSB,-,"Mask of the Jackal is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Mask of the Planeseeker (Legendary),Wondrous Item,Yes,"200,000 GP",GSB,-,"Mask of the Planeseeker is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Mastery Gem (Legendary),Wondrous Item,No,"200,000 GP",GSB,-,"Mastery Gem is a legendary magical focus or object that stores, reveals, enhances, or releases a powerful supernatural effect."
Memento of the Shapeless (Legendary),Weapon (any melee without reach or heavy),Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Memento of the Shapeless is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Meta Mantle (Legendary),Wondrous Item,Yes-Sorcerer,"200,000 GP",GSB,-,"Meta Mantle is a legendary magical garment that grants a powerful protective, concealment, movement, sensory, or transformation effect."
Mirrored Ball of Brag'inir (Legendary),Wondrous Item,No,"200,000 GP",GSB,-,"Mirrored Ball of Brag'inir is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Mister Bottle (Legendary),Wondrous Item,No,"200,000 GP",GSB,-,"Mister Bottle is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Moonblade (Legendary),Weapon,Attunement,"B+200,000 GP",DMG,Weapon's normal damage,"This hereditary elven longsword bonds only to a worthy heir. Each rune on the blade represents a former bearer and grants a property; its powers can include enhancement bonuses, extra damage, defensive traits, or other magic, and the blade is sentient."
Moonfallen Bow (Legendary),Weapon (longbow),Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Moonfallen Bow is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
"Morath, Scepter of the Soul Vortex (Legendary)",Rod,Yes-Spellcaster,"200,000 GP",GSB,-,"Morath, Scepter of the Soul Vortex is a legendary magical rod with a potent activated utility, control, defensive, or combat effect."
Mostly Invisible Wand (Legendary),Wand,No,"200,000 GP",GSB,-,Mostly Invisible Wand is a legendary magical wand with charges or limited uses that produce a powerful spell-like or supernatural effect.
Mourningsteel Half Plate (Legendary),Armor (halfplate),Yes,"B+200,000 GP",GSB,-,"Mourningsteel Half Plate is a legendary magical defensive item with powerful protective, reactive, movement, or environmental properties associated with its enchantment."
Myceliaweave Circlet (Legendary),Wondrous Item,Yes,"200,000 GP",GSB,-,"Myceliaweave Circlet is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Navis Anima (Legendary),Wondrous Item,No,"200,000 GP",GSB,-,"Navis Anima is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Octavius' Saber (Legendary),Weapon (rapier),Yes-Rogue,"B+200,000 GP",GSB,Weapon's normal damage,"Octavius' Saber is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Orange Cicatrizer's Debt (Legendary),Wondrous Item,Yes-Wis 17,"200,000 GP",GSB,-,"Orange Cicatrizer's Debt is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Pact Card (Legendary),Wondrous Item,No,"200,000 GP",GSB,-,"Pact Card is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Pauldron of the Lost Legion (Legendary),Wondrous Item,Yes,"200,000 GP",GSB,-,"Pauldron of the Lost Legion is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Pike of the Forgotten Legion (Legendary),Weapon (pike),Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Pike of the Forgotten Legion is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Plate Armor of Etherealness (Legendary),Armor,Attunement,"B+200,000 GP",DMG,-,"While wearing this +3 plate armor, the wearer can use its limited daily magic to enter the Ethereal Plane for a short duration, returning when the effect ends."
Potion of Giant Strength (Legendary),Potion,-,Varies,DMG,-,"Drinking this potion sets the drinker's Strength to a value based on the giant type associated with the potion for 1 hour, unless the drinker's Strength is already higher."
Primordial Earth Heart (Legendary),Wondrous Item,Yes,"200,000 GP",GSB,-,"Primordial Earth Heart is a legendary magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Purity Spear (Legendary),Weapon (spear),Yes-Good Aligned,"B+200,000 GP",GSB,Weapon's normal damage,"Purity Spear is a legendary magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Puzzle Ring (Legendary),Ring,Yes-Paladin,"200,000 GP",GSB,-,Puzzle Ring is a legendary magical ring that grants a powerful passive benefit or limited supernatural ability while worn.
