Name,Type,Attunement,Price,Source,Damage,Description
Ammunition of Fireworks,Weapon,No,"B+4,000 GP",GSB,Fire,"Ammunition of Fireworks is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Ammunition of Fireworks,Weapon,No,"B+4,000 GP",GSB,Fire,"Ammunition of Fireworks is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Amulet of Divine Protection,Wondrous Item,"Yes-Cleric, Paladin","4,000 GP",GSB,-,"Amulet of Divine Protection is a rare neck-worn magic item that grants a substantial protective, restorative, sensory, or spell-like benefit."
Amulet of Health,Wondrous Item,Attunement,"4,000 GP",DMG,-,"While wearing this amulet, your Constitution becomes 19 unless it is already higher."
Amulet of Ideals,Wondrous Item,"Yes-Cleric, Paladin","4,000 GP",GSB,-,"Amulet of Ideals is a rare neck-worn magic item that grants a substantial protective, restorative, sensory, or spell-like benefit."
Amulet of Immutability,Wondrous Item,Yes,"4,000 GP",GSB,-,"Amulet of Immutability is a rare neck-worn magic item that grants a substantial protective, restorative, sensory, or spell-like benefit."
Amulet of Initiative,Wondrous Item,Yes,"4,000 GP",GSB,-,"Amulet of Initiative is a rare neck-worn magic item that grants a substantial protective, restorative, sensory, or spell-like benefit."
Amulet of the Lycanthrope,Wondrous Item,Yes,"4,000 GP",GSB,-,"Amulet of the Lycanthrope is a rare neck-worn magic item that grants a substantial protective, restorative, sensory, or spell-like benefit."
Amulet of the Sentinel,Wondrous Item,Yes,"4,000 GP",GSB,-,"Amulet of the Sentinel is a rare neck-worn magic item that grants a substantial protective, restorative, sensory, or spell-like benefit."
Ankh of Anointment,Potion,No,"2,000 GP",GSB,-,"Ankh of Anointment is a rare consumable magical preparation that produces a powerful temporary restorative, transformative, protective, or supernatural effect when used."
Ankylosaurus Flail,Weapon,No,"B+4,000 GP",GSB,Weapon's normal damage,"Ankylosaurus Flail is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Appraiser's Eye,Wondrous Item,Yes-Missing an Eye,"4,000 GP",GSB,-,"Appraiser's Eye is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Arcanist Gauntlets,Wondrous Item,Yes-Spellcaster,"4,000 GP",GSB,-,"Arcanist Gauntlets is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Arcanist's Belt of Resiliency,Wondrous Item,Yes,"4,000 GP",GSB,-,"Arcanist's Belt of Resiliency is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Arcanist's Lens,Wondrous Item,No,"4,000 GP",GSB,-,"Arcanist's Lens is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Armor (Rare),Armor,-,Varies,DMG,-,This entry represents a suit of magic armor whose exact armor type determines its base Armor Class and mundane properties; the item's specific enchantment determines any additional magical bonus or effect.
Armor of Resistance,Armor,Attunement,"B+4,000 GP",DMG,-,"While wearing this armor, you have resistance to one damage type determined by the armor."
Armor of Vulnerability,Armor,Attunement,"B+4,000 GP",DMG,-,This cursed armor provides resistance to one physical damage type but makes the wearer vulnerable to others after its curse is revealed.
Arrow of Expulsion (Rare),Weapon,No,"B+4,000 GP",GSB,Weapon's normal damage,"Arrow of Expulsion is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Arrow-Catching Shield,Armor,Attunement,"B+4,000 GP",DMG,-,This +2 shield grants its bonus against ranged attacks and can use a reaction to make a ranged attack against a nearby ally target the shield's wearer instead.
Ashen Bloom,Wondrous Item,No,"4,000 GP",GSB,-,"Ashen Bloom is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Astral Caltrops,Wondrous Item,No,"4,000 GP",GSB,-,"Astral Caltrops is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Aurum and Argentum,Weapon,No,"B+4,000 GP",GSB,Weapon's normal damage,"Aurum and Argentum is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Avian Circlet,Wondrous Item,No,"4,000 GP",GSB,-,"Avian Circlet is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Axe of the Aurora,Weapon,Yes,"B+4,000 GP",GSB,Weapon's normal damage,"Axe of the Aurora is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Axe of the Minotaur,Weapon,Yes,"B+4,000 GP",GSB,Weapon's normal damage,"Axe of the Minotaur is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Axe of the Radiant Sun,Weapon,No,"B+4,000 GP",GSB,Radiant,"Axe of the Radiant Sun is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Badge of the Selfless,Wondrous Item,Yes,"4,000 GP",GSB,-,"Badge of the Selfless is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Badge of the Wayfarer,Wondrous Item,No,"4,000 GP",GSB,-,"Badge of the Wayfarer is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Bag of Beans,Wondrous Item,-,"2,000 GP",DMG,Varies,"This bag contains a small number of magical beans. Scattering them can cause an explosive effect, while planting and watering a bean produces one of several random magical results, ranging from creatures and structures to strange environmental effects."
Bag of Magic Blocks,Wondrous Item,No,"4,000 GP",GSB,-,"Bag of Magic Blocks is a rare magical storage or utility item with extradimensional, conjuration, retrieval, or transformation properties."
Ballatar's Buckler,Armor,Yes,"B+4,000 GP",GSB,-,"Ballatar's Buckler is a rare enchanted defensive item that grants improved protection and an additional magical defensive, reactive, movement, or environmental effect tied to its theme."
Band of Mirrored Essence,Ring,Yes,"4,000 GP",GSB,-,Band of Mirrored Essence is a rare magical ring that grants its wearer a substantial passive benefit or a limited-use supernatural ability.
Bandolier of the Elements,Wondrous Item,Yes,"4,000 GP",GSB,-,"Bandolier of the Elements is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Bane Weapon,Weapon,Attunement,"B+4,000 GP",EB,Weapon's normal damage,"Bane Weapon is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Bangle of the Arcane Assassin,Wondrous Item,Yes-Spellcaster,"4,000 GP",GSB,-,"Bangle of the Arcane Assassin is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Bangle of the Starlight Raven,Wondrous Item,Yes,"4,000 GP",GSB,-,"Bangle of the Starlight Raven is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Barbed Bowstring,Wondrous Item,No,"4,000 GP",GSB,Weapon's normal damage,"Barbed Bowstring is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Bartender's Armistice,Wondrous Item,No,"4,000 GP",GSB,Cold,"Bartender's Armistice is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Bascos Handy Bangle,Wondrous Item,No,"4,000 GP",GSB,-,"Bascos Handy Bangle is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Basilisk Dagger,Weapon,No,"B+4,000 GP",GSB,Weapon's normal damage,"Basilisk Dagger is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Bastion Chain,Armor,Yes,"B+4,000 GP",GSB,-,"Bastion Chain is a rare enchanted defensive item that grants improved protection and an additional magical defensive, reactive, movement, or environmental effect tied to its theme."
Battle Dancer Garb,Wondrous Item,Yes,"4,000 GP",GSB,-,"Battle Dancer Garb is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Battlebrew Maul,Weapon,No,"B+4,000 GP",GSB,Weapon's normal damage,"Battlebrew Maul is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Battlechef's Heated Skillet,Weapon,No,"B+4,000 GP",GSB,Weapon's normal damage,"Battlechef's Heated Skillet is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Bead of Force,Wondrous Item,-,"2,000 GP",DMG,Force,Throwing this bead causes it to explode in a small radius for force damage. Creatures that fail their save can become trapped inside a resilient force sphere that is light enough to be moved or rolled.
Beads of Meditation,Wondrous Item,Yes,"4,000 GP",GSB,-,"Beads of Meditation is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Beetle Blades,Weapon,Yes,"B+4,000 GP",GSB,Weapon's normal damage,"Beetle Blades is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Behirazooka (Rare),Weapon,No,"B+4,000 GP",GSB,Weapon's normal damage,"Behirazooka is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Bell of Pspspsp,Wondrous Item,Yes,"4,000 GP",GSB,-,Bell of Pspspsp is a rare magical instrument that creates a significant supernatural effect when played or activated.
Belt of Dwarvenkind,Wondrous Item,Attunement,"4,000 GP",DMG,-,"While wearing this belt, you gain several dwarven traits, including increased Constitution and improved resilience."
Belt of Giant Strength (Rare),Wondrous Item,Attunement,Varies,DMG,-,"While worn, this belt sets the wearer's Strength to a value determined by the giant type associated with the belt, unless the wearer's Strength is already higher."
Belt of Orion,Wondrous Item,Yes,"4,000 GP",GSB,-,"Belt of Orion is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Belt of the Hell Hound,Wondrous Item,Yes,"4,000 GP",GSB,-,"Belt of the Hell Hound is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Belt of the Raid Leader,Wondrous Item,"Yes-Orc, Half Orc","4,000 GP",GSB,-,"Belt of the Raid Leader is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Berserker Axe,Weapon,Attunement,"B+4,000 GP",DMG,Weapon's normal damage,"This cursed +1 weapon increases the attuned wielder's hit point maximum. After the wielder takes damage, the curse can force a Wisdom save; on a failure, the wielder enters a berserk state and attacks the nearest creature until the effect ends."
Bewitching Brush,Wondrous Item,No,"4,000 GP",GSB,-,"Bewitching Brush is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Black Pudding Power Bomb,Wondrous Item,No,"4,000 GP",GSB,-,"Black Pudding Power Bomb is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Blackthorn Spear of the Moonless Hunter,Weapon,No,"B+4,000 GP",GSB,Weapon's normal damage,"Blackthorn Spear of the Moonless Hunter is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Blazeball Bat,Weapon,No,"B+4,000 GP",GSB,Fire,"Blazeball Bat is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Blizzard Sphere,Wondrous Item,No,"4,000 GP",GSB,-,"Blizzard Sphere is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Blood Pact Bayonet,Weapon,Yes,"B+4,000 GP",GSB,Weapon's normal damage,"Blood Pact Bayonet is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Bloodletter's Crossbow,Weapon,Yes,"B+4,000 GP",GSB,Weapon's normal damage,"Bloodletter's Crossbow is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Bloodmire Rod of the Witch Doctor,Rod,"Yes-Cleric, Druid, Paladin, Warlock","4,000 GP",GSB,-,"Bloodmire Rod of the Witch Doctor is a rare magical rod with a powerful activated utility, control, defensive, or combat effect."
Bloodshard Trident,Weapon,Yes,"B+4,000 GP",GSB,Weapon's normal damage,"Bloodshard Trident is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Blossoming Arrow,Weapon,No,"B+4,000 GP",GSB,Weapon's normal damage,"Blossoming Arrow is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Bolt of Wild Lightning,Weapon,No,"B+4,000 GP",GSB,Lightning,"Bolt of Wild Lightning is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Bolt Rifle,Weapon,Yes,"B+4,000 GP",GSB,Weapon's normal damage,"Bolt Rifle is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Boneash Spear,Weapon,Yes,"B+4,000 GP",GSB,Weapon's normal damage,"Boneash Spear is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Boots of Levitation,Wondrous Item,Attunement,"4,000 GP",DMG,-,"While wearing these boots, you can cast levitate on yourself at will."
Boots of Speed,Wondrous Item,Attunement,"4,000 GP",DMG,-,You can click the heels together to greatly increase your walking speed and make opportunity attacks against you less effective for a limited duration.
Boots of the Yeti,Wondrous Item,Yes,"4,000 GP",GSB,-,Boots of the Yeti is rare magical footwear that significantly improves movement or grants a supernatural travel ability.
Bounder's Ball,Wondrous Item,No,"4,000 GP",GSB,-,"Bounder's Ball is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Bow of Mind Thievery,Weapon,Yes,"B+4,000 GP",GSB,Psychic,"Bow of Mind Thievery is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Bow of Tentacles,Weapon,Yes,"B+4,000 GP",GSB,Weapon's normal damage,"Bow of Tentacles is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Bow of the Cobra,Weapon,Yes,"B+4,000 GP",GSB,Poison,"Bow of the Cobra is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Bow of the Eldritch Archer,Weapon,Yes,"B+4,000 GP",GSB,Weapon's normal damage,"Bow of the Eldritch Archer is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Bow of the Elk Hunter,Weapon,Yes,"B+4,000 GP",GSB,Weapon's normal damage,"Bow of the Elk Hunter is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Bow of the Twilight Valkyrie,Weapon,Yes,"B+4,000 GP",GSB,Weapon's normal damage,"Bow of the Twilight Valkyrie is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Bowl of Commanding Water Elementals,Wondrous Item,-,"4,000 GP",DMG,Weapon's normal damage,"While near sufficient water, this bowl can summon and command a water elemental."
Bracelet of the Shattered Aegis,Wondrous Item,Yes-Spellcaster,"4,000 GP",GSB,-,"Bracelet of the Shattered Aegis is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Bracers of Defense,Wondrous Item,Attunement,"4,000 GP",DMG,-,"While wearing these bracers and wearing no armor or shield, the wearer gains a +2 bonus to Armor Class."
Bracers of Nature's Grip,Wondrous Item,Yes,"4,000 GP",GSB,-,"Bracers of Nature's Grip is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Bracers of Sharpened Wit,Wondrous Item,Yes,"4,000 GP",GSB,-,Bracers of Sharpened Wit is a rare magical instrument that creates a significant supernatural effect when played or activated.
Bracers of the Iron Octopus,Wondrous Item,Yes,"4,000 GP",GSB,-,"Bracers of the Iron Octopus is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Bracers of the Sahuagin,Wondrous Item,No,"4,000 GP",GSB,-,"Bracers of the Sahuagin is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Brazier of Commanding Fire Elementals,Wondrous Item,-,"4,000 GP",DMG,Fire,"While a fire burns in this brazier, it can summon and command a fire elemental."
Brazier of Holy Flame,Wondrous Item,Yes-Cleric,"4,000 GP",GSB,Fire + Radiant,"Brazier of Holy Flame is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Breastplate of the Morning Light,Armor,"Yes-Cleric, Paladin","B+4,000 GP",GSB,-,"Breastplate of the Morning Light is a rare enchanted defensive item that grants improved protection and an additional magical defensive, reactive, movement, or environmental effect tied to its theme."
Brooch of Many Sizes,Wondrous Item,No,"4,000 GP",GSB,-,"Brooch of Many Sizes is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Brooch of the Elements,Wondrous Item,Attunement,"4,000 GP",NF,-,"Brooch of the Elements is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Bullseye Dart,Weapon,No,"B+4,000 GP",GSB,Weapon's normal damage,"Bullseye Dart is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Caduceus Flail,Weapon,"Yes-Cleric, Paladin","B+4,000 GP",GSB,Weapon's normal damage,"Caduceus Flail is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Candlecoven Censer,Wondrous Item,Yes-Spellcaster,"4,000 GP",GSB,-,"Candlecoven Censer is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Candleflame Claymore,Weapon,No,"B+4,000 GP",GSB,Fire,"Candleflame Claymore is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Cannonlance,Weapon,No,"B+4,000 GP",GSB,Weapon's normal damage,"Cannonlance is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Cape of the Mountebank,Wondrous Item,-,"4,000 GP",DMG,-,"Once per day, you can use this cape to teleport yourself and one willing creature in a cloud of smoke."
Captain's Pride,Armor,Yes,"B+4,000 GP",GSB,-,"Captain's Pride is a rare enchanted defensive item that grants improved protection and an additional magical defensive, reactive, movement, or environmental effect tied to its theme."
Captain's Wright,Staff,Yes,"4,000 GP",GSB,-,Captain's Wright is a rare magical staff that serves as a weapon or focus and carries one or more significant magical abilities.
Celestial Tome of Healing,Wondrous Item,Yes-Wizard,"4,000 GP",GSB,Radiant,"Celestial Tome of Healing is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Censer Chime (Rare),Wondrous Item,No,"4,000 GP",GSB,-,"Censer Chime is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Censer of Controlling Air Elementals,Wondrous Item,-,"4,000 GP",DMG,Varies,"While incense burns in this censer, the user can perform a short ritual to summon an air elemental. The elemental obeys the summoner while concentration is maintained, and the censer's summoning magic cannot be used again until it recharges."
Cerberus Whistle,Wondrous Item,No,"4,000 GP",GSB,-,"Cerberus Whistle is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Chain Acolyte Robes,Armor,Yes-Spellcaster,"B+4,000 GP",GSB,-,"Chain Acolyte Robes is a rare enchanted defensive item that grants improved protection and an additional magical defensive, reactive, movement, or environmental effect tied to its theme."
Chain Devil Gloves,Wondrous Item,No,"4,000 GP",GSB,-,"Chain Devil Gloves is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Champion's Greatbow,Weapon,No,"B+4,000 GP",GSB,Weapon's normal damage,"Champion's Greatbow is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Channeling Wand,Wand,Attunement,4000 GP,EB,-,Channeling Wand is a rare magical wand with charges or limited uses that produce a potent spell-like or supernatural effect.
Chi-Balancing Tea,Potion,No,"2,000 GP",GSB,-,"Chi-Balancing Tea is a rare consumable magical preparation that produces a powerful temporary restorative, transformative, protective, or supernatural effect when used."
Chime of Opening,Wondrous Item,-,"2,000 GP",DMG,-,"This chime has limited uses that can magically open locks, latches, lids, and similar closures."
Chimeric Collar,Wondrous Item,No,"4,000 GP",GSB,-,"Chimeric Collar is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Choker of Venomous Words,Wondrous Item,"Yes-Bard, Cleric, Druid","4,000 GP",GSB,Poison,"Choker of Venomous Words is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Chromatic Obsidian Breastplate,Armor,Yes,"B+4,000 GP",GSB,-,"Chromatic Obsidian Breastplate is a rare enchanted defensive item that grants improved protection and an additional magical defensive, reactive, movement, or environmental effect tied to its theme."
Chromatic Obsidian Greataxe,Weapon,Yes,"B+4,000 GP",GSB,Weapon's normal damage,"Chromatic Obsidian Greataxe is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Chromatic Obsidian Orb (Rare),Wondrous Item,Yes-Spellcaster,"4,000 GP",GSB,-,"Chromatic Obsidian Orb is a rare magical stone or focus that stores, reveals, enhances, or releases a powerful supernatural effect."
Cinnabar Rapier,Weapon,No,"B+4,000 GP",GSB,Weapon's normal damage,"Cinnabar Rapier is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Clangor Helmet,Wondrous Item,Yes,"4,000 GP",GSB,-,"Clangor Helmet is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Claws of Ursine Fury,Wondrous Item,Yes-Barbarian,"4,000 GP",GSB,-,"Claws of Ursine Fury is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Cloak of Boundless Spirit,Wondrous Item,Yes,"4,000 GP",GSB,-,"Cloak of Boundless Spirit is a rare magical garment that grants a strong protective, concealment, movement, sensory, or transformation effect while worn."
Cloak of Displacement,Wondrous Item,Attunement,"4,000 GP",DMG,-,"The cloak creates an illusion that makes you appear slightly displaced, causing many attacks against you to have disadvantage until you are hit."
Cloak of the Bat,Wondrous Item,Attunement,"4,000 GP",DMG,-,This cloak improves stealth in dim light and can grant bat-like flight or transformation under appropriate conditions.
Cloak of the Djinni,Wondrous Item,Yes,"4,000 GP",GSB,-,"Cloak of the Djinni is a rare magical garment that grants a strong protective, concealment, movement, sensory, or transformation effect while worn."
Cloak of the Protector's Charge,Wondrous Item,Yes,"4,000 GP",GSB,-,"Cloak of the Protector's Charge is a rare magical garment that grants a strong protective, concealment, movement, sensory, or transformation effect while worn."
Clockwork Colony Toolbox,Wondrous Item,No,"4,000 GP",GSB,-,"Clockwork Colony Toolbox is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Clockwork Healerbee,Wondrous Item,Yes,"4,000 GP",GSB,-,"Clockwork Healerbee is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Clockwork Spyder,Wondrous Item,Yes,"4,000 GP",GSB,-,"Clockwork Spyder is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Clockwork Syrisquito,Wondrous Item,Yes,"4,000 GP",GSB,-,"Clockwork Syrisquito is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Cloudburst,Weapon,No,"B+4,000 GP",GSB,Weapon's normal damage,"Cloudburst is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Coat of Manty Eyes (Rare),Armor,Attunement,B+4000 GP,EB,-,"Coat of Manty Eyes is a rare enchanted defensive item that grants improved protection and an additional magical defensive, reactive, movement, or environmental effect tied to its theme."
Coldfire Anvil,Wondrous Item,No,"4,000 GP",GSB,Fire + Cold,"Coldfire Anvil is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Coldsnap,Weapon,Yes,"B+4,000 GP",GSB,Cold,"Coldsnap is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Comet Ballista,Weapon,Yes,"B+4,000 GP",GSB,Weapon's normal damage,"Comet Ballista is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Companion Sickles,Weapon,Yes,"B+4,000 GP",GSB,Weapon's normal damage,"Companion Sickles is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Conch of Water Communion,Wondrous Item,No,"4,000 GP",GSB,-,"Conch of Water Communion is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Consecrated Hunter's Crossbow,Weapon,No,"B+4,000 GP",GSB,Weapon's normal damage,"Consecrated Hunter's Crossbow is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Conspirator's Coat,Wondrous Item,Yes,"4,000 GP",GSB,-,"Conspirator's Coat is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Contingency Band,Ring,No,"4,000 GP",GSB,-,Contingency Band is a rare magical ring that grants its wearer a substantial passive benefit or a limited-use supernatural ability.
Cottage Chest,Wondrous Item,No,"4,000 GP",GSB,-,"Cottage Chest is a rare magical wondrous item with a significant utility, defensive, movement, control, or combat-related supernatural property."
Couatl Heralds Fang,Weapon,Yes-Good Aligned,"B+4,000 GP",GSB,Weapon's normal damage,"Couatl Heralds Fang is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Couatl Heralds Lash,Weapon,Yes-Good Aligned,"B+4,000 GP",GSB,Weapon's normal damage,"Couatl Heralds Lash is a rare magical weapon with a stronger-than-normal combat property, such as extra damage, a special attack, a condition, or a limited activated ability."
Couatl Heralds Radiance,Staff,Yes-Good Aligned,"4,000 GP",GSB,-,Couatl Heralds Radiance is a rare magical staff that serves as a weapon or focus and carries one or more significant magical abilities.
